date,type,price,shares,value,profit
2023-08-01 00:00:00+05:30,buy,1239.3125,8.0,9914.5,
2023-08-03 00:00:00+05:30,buy,1220.9189453125,0.0,0.0,
2023-08-11 00:00:00+05:30,sell,1256.053955078125,8.0,10048.431640625,281.080078125
2023-08-24 00:00:00+05:30,buy,1231.5120849609375,8.0,9852.0966796875,
2023-08-28 00:00:00+05:30,buy,1213.6090087890625,0.0,0.0,
2023-08-30 00:00:00+05:30,buy,1200.845947265625,0.0,0.0,
2023-09-01 00:00:00+05:30,buy,1198.1641845703125,0.0,0.0,
2023-10-03 00:00:00+05:30,buy,1151.2337646484375,0.0,0.0,
2023-10-05 00:00:00+05:30,buy,1149.22265625,0.0,0.0,
2023-10-09 00:00:00+05:30,buy,1141.3511962890625,0.0,0.0,
2023-10-19 00:00:00+05:30,buy,1145.2744140625,0.0,0.0,
2023-10-23 00:00:00+05:30,buy,1123.9447021484375,0.0,0.0,
2023-10-26 00:00:00+05:30,buy,1105.7188720703125,0.0,0.0,
2023-10-31 00:00:00+05:30,buy,1136.211181640625,0.0,0.0,
2023-11-09 00:00:00+05:30,buy,1147.4595947265625,0.0,0.0,
2023-11-13 00:00:00+05:30,buy,1149.470947265625,0.0,0.0,
2023-11-23 00:00:00+05:30,buy,1189.647216796875,0.0,0.0,
2023-11-28 00:00:00+05:30,buy,1189.100830078125,0.0,0.0,
2023-11-30 00:00:00+05:30,buy,1180.6832275390625,0.0,0.0,
2023-12-04 00:00:00+05:30,buy,1201.9136962890625,0.0,0.0,
2023-12-06 00:00:00+05:30,buy,1222.225341796875,0.0,0.0,
2023-12-08 00:00:00+05:30,buy,1219.568359375,0.0,0.0,
2023-12-12 00:00:00+05:30,buy,1203.82568359375,0.0,0.0,
2023-12-14 00:00:00+05:30,buy,1223.739990234375,0.0,0.0,
2023-12-18 00:00:00+05:30,buy,1251.97265625,0.0,0.0,
2023-12-29 00:00:00+05:30,buy,1283.7313232421875,0.0,0.0,
2024-01-02 00:00:00+05:30,buy,1297.015869140625,0.0,0.0,
2024-01-04 00:00:00+05:30,buy,1289.541748046875,0.0,0.0,
2024-01-08 00:00:00+05:30,buy,1284.92333984375,0.0,0.0,
2024-01-10 00:00:00+05:30,buy,1316.0860595703125,0.0,0.0,
2024-01-17 00:00:00+05:30,buy,1352.3638916015625,0.0,0.0,
2024-01-19 00:00:00+05:30,buy,1358.1990966796875,0.0,0.0,
2024-01-24 00:00:00+05:30,buy,1334.78369140625,0.0,0.0,
2024-02-06 00:00:00+05:30,buy,1418.1409912109375,0.0,0.0,
2024-02-12 00:00:00+05:30,buy,1442.5247802734375,0.0,0.0,
2024-02-16 00:00:00+05:30,buy,1450.694091796875,0.0,0.0,
2024-02-28 00:00:00+05:30,buy,1445.7777099609375,0.0,0.0,
2024-03-01 00:00:00+05:30,sell,1482.03076171875,8.0,11856.24609375,290.0244140625
2024-03-13 00:00:00+05:30,buy,1422.486328125,8.0,11379.890625,
2024-03-15 00:00:00+05:30,buy,1408.630615234375,0.0,0.0,
2024-04-09 00:00:00+05:30,buy,1453.7484130859375,0.0,0.0,
2024-05-03 00:00:00+05:30,buy,1424.2989501953125,0.0,0.0,
2024-05-07 00:00:00+05:30,buy,1391.9940185546875,0.0,0.0,
2024-05-09 00:00:00+05:30,buy,1384.6937255859375,0.0,0.0,
2024-05-13 00:00:00+05:30,buy,1393.210693359375,0.0,0.0,
2024-05-16 00:00:00+05:30,buy,1415.70751953125,0.0,0.0,
2024-05-23 00:00:00+05:30,sell,1475.9969482421875,8.0,11807.9755859375,482.3154296875
2024-05-28 00:00:00+05:30,buy,1446.3487548828125,8.0,11570.7900390625,
2024-05-30 00:00:00+05:30,buy,1415.2108154296875,0.0,0.0,
2024-06-04 00:00:00+05:30,buy,1387.8223876953125,0.0,0.0,
2024-06-19 00:00:00+05:30,buy,1448.7822265625,0.0,0.0,
2024-06-24 00:00:00+05:30,buy,1431.723388671875,0.0,0.0,
2024-06-26 00:00:00+05:30,sell,1503.7825927734375,8.0,12030.2607421875,576.4736328125
2024-08-05 00:00:00+05:30,buy,1437.5338134765625,9.0,12937.804321289062,
2024-08-09 00:00:00+05:30,sell,1464.326416015625,9.0,13178.937744140625,241.1334228515625
2024-10-03 00:00:00+05:30,buy,1406.9749755859375,9.0,12662.774780273438,
2024-10-07 00:00:00+05:30,buy,1370.7249755859375,0.0,0.0,
2024-10-08 00:00:00+05:30,sell,1397.3499755859375,9.0,12576.149780273438,239.625
2024-10-15 00:00:00+05:30,buy,1344.0250244140625,9.0,12096.225219726562,
2024-10-18 00:00:00+05:30,sell,1359.300048828125,9.0,12233.700439453125,137.4752197265625
2024-12-17 00:00:00+05:30,buy,1245.300048828125,10.0,12453.00048828125,
2024-12-20 00:00:00+05:30,buy,1205.300048828125,0.0,0.0,
2025-01-02 00:00:00+05:30,sell,1241.800048828125,10.0,12418.00048828125,365.0
2025-01-24 00:00:00+05:30,buy,1246.300048828125,10.0,12463.00048828125,
2025-01-28 00:00:00+05:30,buy,1234.4000244140625,0.0,0.0,
2025-02-03 00:00:00+05:30,buy,1245.9000244140625,0.0,0.0,
2025-02-04 00:00:00+05:30,sell,1285.199951171875,10.0,12851.99951171875,392.999267578125
2025-02-11 00:00:00+05:30,buy,1234.8499755859375,11.0,13583.349731445312,
2025-02-13 00:00:00+05:30,buy,1216.0999755859375,0.0,0.0,
2025-02-24 00:00:00+05:30,buy,1214.550048828125,0.0,0.0,
2025-03-03 00:00:00+05:30,buy,1171.25,0.0,0.0,
